image,num_boxes,total_area_pixels,max_conf,qc_status
sp0068_png.rf.dcb13dd086f8d2d919263fa63a2456cd.jpg,0,0.0,0.0,NOT_VERIFIABLE
sp0069_png.rf.f2d2a81dcc512d4e569a626386f610e3.jpg,4,12599.21525007498,0.3796314597129822,NOT_VERIFIABLE
sp0070_png.rf.d02d5bd77695bbbcd99bbbe2b0a14031.jpg,1,17654.78527464997,0.2902125120162964,NOT_VERIFIABLE
sp0072_png.rf.0cd40911d8bab4357e15f3c18cb421a0.jpg,2,32422.099528094983,0.6945840716362,VERIFIABLE
sp0073_png.rf.efb3ab17c188b460add7cfdfdaa4d4da.jpg,2,49313.90507752262,0.3684355914592743,NOT_VERIFIABLE
sp0074_png.rf.290b1e03045bcd6e33fe2b1a4247caa0.jpg,0,0.0,0.0,NOT_VERIFIABLE
sp0076_png.rf.d9633c5a9b2832f79e6f9a7f59986338.jpg,1,124166.23429071158,0.2811349928379059,NOT_VERIFIABLE
sp0077_png.rf.e162e1e24d5f93863f9939a2f5320a42.jpg,1,400486.52284789085,0.5168970227241516,VERIFIABLE
sp0078_png.rf.f946eea1b137629a33a59c97c8f528f4.jpg,0,0.0,0.0,NOT_VERIFIABLE
sp0079_png.rf.6461316c5fcdc0b3ca62874f300005cc.jpg,4,19476.554682315327,0.5625633597373962,VERIFIABLE
